recipe,calories,carbohydrates_g,cholesterol_mg,fat_g,protein_g,sodium_mg,url
Amazing Pork Tenderloin In The Slow Cooker,180,5.8,65.5,3.7,24.5,917.5,https://www.allrecipes.com/recipe/75861/amazing-pork-tenderloin-in-the-slow-cooker/
Slow Cooker Buffalo Chicken Wing Soup,634,36.5,137.4,42.4,27.9,1909,https://www.allrecipes.com/recipe/228121/slow-cooker-buffalo-chicken-wing-soup/
Easy Slow Cooker Bbq,269,11.5,67.1,16,17.3,401.5,https://www.allrecipes.com/recipe/235361/easy-slow-cooker-bbq/
Slow Cooker Short Ribs,618,6,116.6,52.2,29.1,289.2,https://www.allrecipes.com/recipe/237166/slow-cooker-short-ribs/
Slow Cooker Chicken Massaman Curry,841,100.7,70.2,34,33.9,700.9,https://www.allrecipes.com/recipe/272374/slow-cooker-chicken-massaman-curry/
Guinness Beer Cheese Dip,224,2.5,53.3,17.8,12.8,915.6,https://www.allrecipes.com/recipe/220556/guinness-beer-cheese-dip/
Slow Cooker Barbecue Ribs,497,33,117,29.6,26,1244.5,https://www.allrecipes.com/recipe/22230/slow-cooker-barbecue-ribs/
Slow Cooker Thai Curried Beef,829,85.6,98.6,39.3,40.3,298.5,https://www.allrecipes.com/recipe/255865/slow-cooker-thai-curried-beef/
Slow Cooker Potluck Spareribs,524,33.5,120,30.2,29.9,1025.6,https://www.allrecipes.com/recipe/231768/slow-cooker-potluck-spareribs/
Slow Cooker Ground Beef Stew,384,46.7,49.6,13,21.5,1199.5,https://www.allrecipes.com/recipe/229248/slow-cooker-ground-beef-stew/
Slow Cooker Bulgogi,365,16.1,90.7,19.3,30.7,1868.4,https://www.allrecipes.com/recipe/246594/slow-cooker-bulgogi/
Sweet Potato Chili,250,32.5,38.3,7.4,16,620.9,https://www.allrecipes.com/recipe/229081/sweet-potato-chili/
Zesty Pulled Pork Sandwiches,505,78.6,52.9,9,25.7,2089.3,https://www.allrecipes.com/recipe/229821/zesty-pulled-pork-sandwiches/
Slow Cooker Alabama Pulled Bbq Chicken,360,4,96.8,25.3,28.3,575.1,https://www.allrecipes.com/recipe/242155/slow-cooker-alabama-pulled-bbq-chicken/
Spicy Slow Cooked Chili,308,22.3,62.3,13.8,23.4,1023.7,https://www.allrecipes.com/recipe/223390/spicy-slow-cooked-chili/
Big Game Dip,211,6.1,48.5,15.5,12.1,1068,https://www.allrecipes.com/recipe/230992/big-game-dip/
Grandmas Slow Cooker Swiss Steak,368,16.2,78.8,19,30.2,997.3,https://www.allrecipes.com/recipe/230773/grandmas-slow-cooker-swiss-steak/
Sunday Brunswick Stew,292,48.3,34.9,3.9,18.4,1464.4,https://www.allrecipes.com/recipe/228639/sunday-brunswick-stew/
Darias Slow Cooker Beef Stroganoff,403,11.5,93.8,26.8,27.2,672.2,https://www.allrecipes.com/recipe/16196/darias-slow-cooker-beef-stroganoff/
Christinas Slow Cooker Chili,306,24.4,52.2,14.4,20.7,487.1,https://www.allrecipes.com/recipe/239016/christinas-slow-cooker-chili/
Barbacoa Style Shredded Beef,303,2.6,77.5,22.9,20.3,150.3,https://www.allrecipes.com/recipe/246835/barbacoa-style-shredded-beef/
Easy And Quick Swiss Steak,349,48.6,27.2,8.7,21.6,304.6,https://www.allrecipes.com/recipe/74352/easy-and-quick-swiss-steak/
Slow Cooker Beef Barbacoa,292,9.1,77.3,18.8,22,350.2,https://www.allrecipes.com/recipe/217412/slow-cooker-beef-barbacoa/
Hobo Beef And Vegetable Soup,362,45.6,49.6,10.8,23.7,1182,https://www.allrecipes.com/recipe/213762/hobo-beef-and-vegetable-soup/
Saucy Slow Cooker Pork Chops,321,20.9,59.1,15.2,24.8,994.6,https://www.allrecipes.com/recipe/229770/saucy-slow-cooker-pork-chops/
Outrageous Warm Chicken Nacho Dip,232,8.7,60.2,13.6,18.6,790.4,https://www.allrecipes.com/recipe/157940/outrageous-warm-chicken-nacho-dip/
Spicy Slow Cooker Black Bean Soup,281,49.7,5,2,17.7,1012.3,https://www.allrecipes.com/recipe/13006/spicy-slow-cooker-black-bean-soup/
Slow Cooker Zucchini Soup,389,25.8,49,23.6,21.8,2218.3,https://www.allrecipes.com/recipe/232096/slow-cooker-zucchini-soup/
Slow Cooker Chicken Pepperoni,390,31.2,87.1,12.7,35.2,1192,https://www.allrecipes.com/recipe/247082/slow-cooker-chicken-pepperoni/
Easy Slow Cooker Chicken And Dumplings,270,27.3,43.9,10.6,16.1,755.3,https://www.allrecipes.com/recipe/240587/easy-slow-cooker-chicken-and-dumplings/
Famous Meatballs,611,46.4,188.5,29.2,38.9,587.1,https://www.allrecipes.com/recipe/221180/famous-meatballs/
Slow Cooker Borscht,345,33.2,50.6,17.5,16.2,897.3,https://www.allrecipes.com/recipe/109254/slow-cooker-borscht/
Slow Cooker Honey Garlic Pork Loin Roast,337,16.1,81.6,17.4,28.7,216.2,https://www.allrecipes.com/recipe/275211/slow-cooker-honey-garlic-pork-loin-roast/
Kates Easy German Sauerbraten,460,17.9,103.3,27,27.8,1875.3,https://www.allrecipes.com/recipe/221360/kates-easy-german-sauerbraten/
Slow Cooker Bone Broth,27,6,,0.1,0.7,77.3,https://www.allrecipes.com/recipe/241065/slow-cooker-bone-broth/
Slow Cooker Cheesy Hash Brown Potatoes,336,21.1,58.3,29.3,9,655.4,https://www.allrecipes.com/recipe/268693/slow-cooker-cheesy-hash-brown-potatoes/
Slow Cooker Adobo Chicken With Bok Choy,458,20.8,128.3,23.1,40.4,1394.5,https://www.allrecipes.com/recipe/223588/slow-cooker-adobo-chicken-with-bok-choy/
Slow Cooker Barbeque,344,23.3,73.6,17.9,20.5,895.2,https://www.allrecipes.com/recipe/14608/slow-cooker-barbeque/
Slow Cooker Pinto Beans,366,38.2,36.4,13.5,23.5,1348.4,https://www.allrecipes.com/recipe/220822/slow-cooker-pinto-beans/
Grandmas Hungarian Stuffed Cabbage Slow Cooker Variation,403,30.6,91.2,21.7,22.4,884,https://www.allrecipes.com/recipe/256610/grandmas-hungarian-stuffed-cabbage-slow-cooker-variation/
Beef Barley Vegetable Soup,321,22.4,61.8,17.3,20,605.5,https://www.allrecipes.com/recipe/13023/beef-barley-vegetable-soup/
Slow Cooker Dump And Go Cheesy Chicken,321,11.8,112.8,12.4,38.9,1034.4,https://www.allrecipes.com/recipe/17024/slow-cooker-dump-and-go-cheesy-chicken/
Slow Cooker Roasted Leg Of Lamb,285,10.5,100.3,14,25.6,464.5,https://www.allrecipes.com/recipe/241514/slow-cooker-roasted-leg-of-lamb/
Slow Cooker Ham And Beans,318,49.8,15.9,5.9,17.8,492.5,https://www.allrecipes.com/recipe/157825/slow-cooker-ham-and-beans/
Slow Cooker London Broil,198,9.8,35.7,11.1,14.9,801.1,https://www.allrecipes.com/recipe/14684/slow-cooker-london-broil/
Charleys Slow Cooker Mexican Style Meat,261,3.3,68.7,19.1,18.4,314.7,https://www.allrecipes.com/recipe/16995/charleys-slow-cooker-mexican-style-meat/
Crock Pot Chicken Chili,386,62.9,36.9,2.9,28.8,1338.2,https://www.allrecipes.com/recipe/230792/crock-pot-chicken-chili/
No Time To Cook Chicken,304,12.1,88,16.2,26.6,1142.2,https://www.allrecipes.com/recipe/17607/no-time-to-cook-chicken/
Slow Cooker Hamburgers,491,29.1,151.8,24.3,36.4,678.9,https://www.allrecipes.com/recipe/281301/slow-cooker-hamburgers/
Baked Slow Cooker Chicken,408,0.2,141.9,28.5,35.2,132.5,https://www.allrecipes.com/recipe/8647/baked-slow-cooker-chicken/
Crock Pot Cheesy Mushroom Chicken,267,12.6,70.8,10.4,28.2,1091.3,https://www.allrecipes.com/recipe/126398/crock-pot-cheesy-mushroom-chicken/
Healthier Amazing Pork Tenderloin In The Slow Cooker,179,6.4,65.5,3.2,24.7,506.2,https://www.allrecipes.com/recipe/219454/healthier-amazing-pork-tenderloin-in-the-slow-cooker/
Cauliflower Potato Soup,416,45.8,55.6,20.3,15.9,1087.3,https://www.allrecipes.com/recipe/234991/cauliflower-potato-soup/
Slow Cooker Cream Of Broccoli Soup,289,21.2,39.2,18.1,12.3,1455.9,https://www.allrecipes.com/recipe/220268/slow-cooker-cream-of-broccoli-soup/
Grandpas Classic Coney Sauce,186,12.8,45.9,9.2,13.5,586.1,https://www.allrecipes.com/recipe/100182/grandpas-classic-coney-sauce/
Cabbage Beef Soup,211,20.3,27.6,8.7,14.1,1154.2,https://www.allrecipes.com/recipe/76042/cabbage-beef-soup/
Moms Chicken And Dumplings Slow Cooker Version,649,62.9,116.7,22.2,47.8,2692,https://www.allrecipes.com/recipe/238893/moms-chicken-and-dumplings-slow-cooker-version/
Cuban Inspired Slow Cooker Chicken,421,60.3,46.9,3.2,27.8,2142.3,https://www.allrecipes.com/recipe/278990/cuban-inspired-slow-cooker-chicken/
Slow Cooker Bolognese,245,17.9,43.9,13,16.3,546.5,https://www.allrecipes.com/recipe/214551/slow-cooker-bolognese/
Meatiest Vegetarian Chili From Your Slow Cooker,455,58.2,,18.2,21.2,1645.5,https://www.allrecipes.com/recipe/132394/meatiest-vegetarian-chili-from-your-slow-cooker/
Slow Cooker Lasagna,446,35.7,71.6,20.3,31.2,1420.2,https://www.allrecipes.com/recipe/11959/slow-cooker-lasagna/
Kielbasa For The Big Game,262,23.3,37.5,15.6,6.9,865.5,https://www.allrecipes.com/recipe/216704/kielbasa-for-the-big-game/
Campbells Slow Cooker Savory Pot Roast,683,42,147.1,33.3,50,1356.9,https://www.allrecipes.com/recipe/177849/campbells-slow-cooker-savory-pot-roast/
Slow Cooked German Short Ribs,589,15.4,93.2,46.4,22.7,470.8,https://www.allrecipes.com/recipe/23564/slow-cooked-german-short-ribs/
Healthier Slow Cooker Chicken Tortilla Soup,208,23.7,42.9,6.8,15.3,438.2,https://www.allrecipes.com/recipe/222096/healthier-slow-cooker-chicken-tortilla-soup/
Refried Beans Without The Refry,139,25.4,,0.5,8.5,784.7,https://www.allrecipes.com/recipe/70312/refried-beans-without-the-refry/
Ham Bone Soup,266,53.3,0.9,1,11.4,2136,https://www.allrecipes.com/recipe/29798/ham-bone-soup/
Slow Cooker Barbequed Beef Ribs,1035,50.2,165.6,76.1,39,2965.4,https://www.allrecipes.com/recipe/228796/slow-cooker-barbequed-beef-ribs/
Breakfast Casserole In A Slow Cooker,641,21.3,375.6,54,35.7,989.2,https://www.allrecipes.com/recipe/241106/breakfast-casserole-in-a-slow-cooker/
Cheesy Brat Stew For The Slow Cooker,604,35.1,102.4,40.4,24.8,1487,https://www.allrecipes.com/recipe/56391/cheesy-brat-stew-for-the-slow-cooker/
Slow Cooker Chai,90,15.6,8.3,2.3,2.2,42,https://www.allrecipes.com/recipe/58312/slow-cooker-chai/
Slow Cooker Spicy Black Eyed Peas,199,30.2,9.6,2.9,14.1,341.4,https://www.allrecipes.com/recipe/142892/slow-cooker-spicy-black-eyed-peas/
Cozy Mulled Wine,256,35.9,,0.1,0.3,10.3,https://www.allrecipes.com/recipe/235319/cozy-mulled-wine/
Slow Cooker Green Beans And Potatoes,102,18.6,2.3,2.3,3,49.4,https://www.allrecipes.com/recipe/275315/slow-cooker-green-beans-and-potatoes/
Chef Johns Apple Butter,82,21.8,,,0.2,74.5,https://www.allrecipes.com/recipe/268029/chef-johns-apple-butter/
Amazing Buffalo Dip,246,2.1,54.4,21.4,11.5,664.9,https://www.allrecipes.com/recipe/236200/amazing-buffalo-dip/
Cabbage Rolls Ii,246,18.3,83.5,10.8,19,748,https://www.allrecipes.com/recipe/20045/cabbage-rolls-ii/
Melt In Your Mouth Meat Loaf,328,18.4,135.6,16.9,24.7,841.1,https://www.allrecipes.com/recipe/223381/melt-in-your-mouth-meat-loaf/
Frijoles A La Charra,353,39.8,19.3,13.8,16,741,https://www.allrecipes.com/recipe/76646/frijoles-a-la-charra/
Spiced Slow Cooker Applesauce,151,39.4,,0.2,0.4,7.7,https://www.allrecipes.com/recipe/149218/spiced-slow-cooker-applesauce/
Spicy Slow Cooked Beanless Chili,340,13.3,94.6,19.3,28.2,1402,https://www.allrecipes.com/recipe/236999/spicy-slow-cooked-beanless-chili/
Slow Cooker Game Day Chili,438,32.4,92.8,20.6,33.7,2011,https://www.allrecipes.com/recipe/240980/slow-cooker-game-day-chili/
Creamy Slow Cooker Steel Cut Oats,325,52.6,22.4,10.2,7.4,73.2,https://www.allrecipes.com/recipe/274531/creamy-slow-cooker-steel-cut-oats/
Slow Cooker Caramelized Onions,71,10.6,7.6,3,1.3,170.3,https://www.allrecipes.com/recipe/246511/slow-cooker-caramelized-onions/
Homestyle Kalua Pork With Cabbage In A Slow Cooker,502,4.8,129.8,40.6,30.2,3899.2,https://www.allrecipes.com/recipe/222403/homestyle-kalua-pork-with-cabbage-in-a-slow-cooker/
Slow Cooker Barbecue Chicken Breast,597,114.1,64.6,3.6,24.1,3465.7,https://www.allrecipes.com/recipe/276804/slow-cooker-barbecue-chicken-breast/
Garlic Top Sirloin Pot Roast,378,26.1,90.8,16.1,31.5,823.5,https://www.allrecipes.com/recipe/22681/garlic-top-sirloin-pot-roast/
Grandmas Slow Cooker Vegetarian Chili,260,52.6,0.8,2,12.4,965.9,https://www.allrecipes.com/recipe/14021/grandmas-slow-cooker-vegetarian-chili/
Slow Cooker Cranberry Chicken,740,70.5,60.8,41,23.4,1810.3,https://www.allrecipes.com/recipe/216715/slow-cooker-cranberry-chicken/
Slow Cooker Swiss Steak,246,19.2,38.6,10.6,16.8,314.9,https://www.allrecipes.com/recipe/49591/slow-cooker-swiss-steak/
Chicken Cacciatore In A Slow Cooker,364,42,68.5,8.5,30.8,1200,https://www.allrecipes.com/recipe/246305/chicken-cacciatore-in-a-slow-cooker/
Zesty Slow Cooker Chicken Barbecue,300,32.4,60.8,8.1,23,1058.4,https://www.allrecipes.com/recipe/65896/zesty-slow-cooker-chicken-barbecue/
Roast Beef And Gravy,336,8.9,77.5,22.7,22.3,1071.1,https://www.allrecipes.com/recipe/222637/roast-beef-and-gravy/
Slow Cooker Pheasant With Mushrooms And Olives,642,16.5,189.3,30.7,63.3,413.5,https://www.allrecipes.com/recipe/165163/slow-cooker-pheasant-with-mushrooms-and-olives/
Ham Bone And Vegetable Soup,87,18.8,0.4,0.4,3,1038.8,https://www.allrecipes.com/recipe/235951/ham-bone-and-vegetable-soup/
Slow Cooker Mojo Pork,314,3,64.9,27.1,14.9,1535.9,https://www.allrecipes.com/recipe/281144/slow-cooker-mojo-pork/
Chorizo Queso Dip,178,2.4,42.2,15.2,8,507.5,https://www.allrecipes.com/recipe/221371/chorizo-queso-dip/
Slow Cooker Chicken Stroganoff,456,9.5,136.1,31,33.4,1602.8,https://www.allrecipes.com/recipe/17227/slow-cooker-chicken-stroganoff/
Slow Cooker Ham,360,18,74.2,20.1,25.8,1425.1,https://www.allrecipes.com/recipe/80525/slow-cooker-ham/
Slow Cooker Chicken Noodle Soup,207,17.1,76.5,3.4,25.6,1055.4,https://www.allrecipes.com/recipe/275973/slow-cooker-chicken-noodle-soup/
Slow Cooker Cactus Chili,400,48.7,55.1,12.4,26.6,1346.8,https://www.allrecipes.com/recipe/255866/slow-cooker-cactus-chili/
Franks Favorite Slow Cooker Thai Chicken,562,13.7,136.8,35.9,47.6,859.7,https://www.allrecipes.com/recipe/213748/franks-favorite-slow-cooker-thai-chicken/
Slow Cooker Green Bean Casserole,272,22.9,12.1,16.7,5.9,836.9,https://www.allrecipes.com/recipe/229809/slow-cooker-green-bean-casserole/
Slow Cooker 3 Ingredient French Dips,501,79.8,33.8,5.9,31.5,2273.1,https://www.allrecipes.com/recipe/235420/slow-cooker-3-ingredient-french-dips/
Slow Cooker Spicy Chicken,152,7.1,60.8,2.8,24.4,392.1,https://www.allrecipes.com/recipe/214731/slow-cooker-spicy-chicken/
Slow Cooker Posole,241,25.7,39.8,7.7,16.8,670.5,https://www.allrecipes.com/recipe/149938/slow-cooker-posole/
Slow Cooker Moscow Chicken,446,15.4,87.7,32.3,23.2,730.6,https://www.allrecipes.com/recipe/190015/slow-cooker-moscow-chicken/
Cocktail Wieners,389,27.3,59.2,27.1,11.8,1158.8,https://www.allrecipes.com/recipe/240515/cocktail-wieners/
Quick And Easy Clam Chowder,425,17.6,134.3,32.5,16.1,739.6,https://www.allrecipes.com/recipe/13389/quick-and-easy-clam-chowder/
Slow Cooker Turkey Meatballs In Tomato Sauce,415,41.1,86.5,14.1,29.8,1281.2,https://www.allrecipes.com/recipe/276451/slow-cooker-turkey-meatballs-in-tomato-sauce/
Take The Night Off Slow Cooker Pineapple Chicken,377,20.2,127.7,11.9,45.6,223.9,https://www.allrecipes.com/recipe/232409/take-the-night-off-slow-cooker-pineapple-chicken/
Best Of All Slow Cooker Beef Stew,250,21.5,47.9,8.2,19.3,636.8,https://www.allrecipes.com/recipe/238891/best-of-all-slow-cooker-beef-stew/
Slow Cooker Pork Chops,165,4.8,59.4,5.2,24.1,803.9,https://www.allrecipes.com/recipe/14723/slow-cooker-pork-chops/
Bourbon Mango Pulled Pork,319,34.5,68.4,8,23.7,995.5,https://www.allrecipes.com/recipe/163001/bourbon-mango-pulled-pork/
Classic Slow Cooker Corn Chowder,376,47.1,33.9,18.7,14.9,1735.8,https://www.allrecipes.com/recipe/221235/classic-slow-cooker-corn-chowder/
Easy Slow Cooker Swedish Meatballs,429,17.1,126.7,28.2,25.5,1071.5,https://www.allrecipes.com/recipe/276506/easy-slow-cooker-swedish-meatballs/
Slow Cooker Loaded Potato Soup,647,50.3,137.2,42.2,19.2,1087.7,https://www.allrecipes.com/recipe/277943/slow-cooker-loaded-potato-soup/
Savory Slow Cooker Beef Tips,338,18.4,79.8,14.7,31.8,1150.4,https://www.allrecipes.com/recipe/223376/savory-slow-cooker-beef-tips/
Slow Cooker Corned Beef And Cabbage,473,49.5,99.5,19.6,23.6,1280.6,https://www.allrecipes.com/recipe/84270/slow-cooker-corned-beef-and-cabbage/
Kevins Sausage Dip,153,1.2,29.6,14.7,4.1,284.7,https://www.allrecipes.com/recipe/16865/kevins-sausage-dip/
Three Packet Slow Cooker Roast,610,6.1,163.7,46,39.1,1179.7,https://www.allrecipes.com/recipe/214413/three-packet-slow-cooker-roast/
Easy Slow Cooker Creamy Chicken Chili,419,47.1,70.3,15.6,25.9,1322.5,https://www.allrecipes.com/recipe/273277/easy-slow-cooker-creamy-chicken-chili/
Slow Cooker Venison Chili For The Big Game,338,16.5,87,18.9,25.7,1066.2,https://www.allrecipes.com/recipe/129482/slow-cooker-venison-chili-for-the-big-game/
Slow Cooker Creamy Potato Soup,553,74.2,59.2,19.3,22,1151.3,https://www.allrecipes.com/recipe/22861/slow-cooker-creamy-potato-soup/
Slow Cooker Mediterranean Roast Turkey Breast,333,8.9,163.8,4.7,60.6,464.8,https://www.allrecipes.com/recipe/215309/slow-cooker-mediterranean-roast-turkey-breast/
Cocktail Meatballs,193,15.2,52.7,10.2,9.8,84.9,https://www.allrecipes.com/recipe/15206/cocktail-meatballs/
Jackfruit Pulled Pork,207,31.5,,7.6,0.1,1040.3,https://www.allrecipes.com/recipe/256663/jackfruit-pulled-pork/
Easy Slow Cooker Salsa Chicken,138,9.8,48.5,2.5,20,1037.8,https://www.allrecipes.com/recipe/272331/easy-slow-cooker-salsa-chicken/
Slow Cooker Chicken Marrakesh,290,36,65.9,2,30.6,625,https://www.allrecipes.com/recipe/218769/slow-cooker-chicken-marrakesh/
Slow Cooker Bbq Chicken Thighs,279,26,129.4,8.8,23.7,777.3,https://www.allrecipes.com/recipe/266405/slow-cooker-bbq-chicken-thighs/
Spicy Hot Chicken Legs,685,5,158.8,55.6,41.4,1024.8,https://www.allrecipes.com/recipe/74705/spicy-hot-chicken-legs/
Slow Cooker Carnitas,223,0.7,73.3,13.8,22.2,474.3,https://www.allrecipes.com/recipe/139603/slow-cooker-carnitas/
Butter Beef,437,2.2,124.4,34.6,28,457.1,https://www.allrecipes.com/recipe/73910/butter-beef/
Slow Cooker Chicken Creole,189,13.8,68.4,1.9,29.6,430.5,https://www.allrecipes.com/recipe/25184/slow-cooker-chicken-creole/
Chicken Broth In A Slow Cooker,247,5.8,61.5,14.8,21.7,99.2,https://www.allrecipes.com/recipe/13072/chicken-broth-in-a-slow-cooker/
Slow Cooker Pork Rib Tips,453,54.7,59.9,19.1,14.9,2060,https://www.allrecipes.com/recipe/274865/slow-cooker-pork-rib-tips/
Creamy Homemade Chicken Stew,562,65.2,106.5,14.3,43.5,834.5,https://www.allrecipes.com/recipe/25681/creamy-homemade-chicken-stew/
Easy Pork Chops For The Slow Cooker,237,9.8,62.7,10.1,25,907,https://www.allrecipes.com/recipe/237411/easy-pork-chops-for-the-slow-cooker/
Slow Cooker Bread,131,22.8,,2.3,4.5,350.9,https://www.allrecipes.com/recipe/279631/slow-cooker-bread/
Slow Cooker Ground Beef Barbecue,188,14.5,44.6,8.5,13.9,709.8,https://www.allrecipes.com/recipe/217123/slow-cooker-ground-beef-barbecue/
Slow Cooker Split Pea Sausage Soup,412,50.8,37.3,13.1,23.9,1492.4,https://www.allrecipes.com/recipe/16810/slow-cooker-split-pea-sausage-soup/
Slow Cooker Beef Pot Roast,778,7.6,198.5,57.3,54.6,602.5,https://www.allrecipes.com/recipe/220125/slow-cooker-beef-pot-roast/
Slow Cooker Asian Short Ribs,670,13.7,116.2,55.1,28.4,1332.9,https://www.allrecipes.com/recipe/269949/slow-cooker-asian-short-ribs/
Party Kielbasa,331,39.2,40,16.6,8,903.7,https://www.allrecipes.com/recipe/17605/party-kielbasa/
Nikkis Creamy Crock Pot Potato Soup,429,42.5,61.4,23.5,13.7,1365.6,https://www.allrecipes.com/recipe/132037/nikkis-creamy-crock-pot-potato-soup/
Authentic No Shortcuts Louisiana Red Beans And Rice,556,61.5,49.9,22.3,27.2,615.1,https://www.allrecipes.com/recipe/148759/authentic-no-shortcuts-louisiana-red-beans-and-rice/
Slow Cooker Easy Baked Potato Soup,336,26.6,55.9,17.9,18.4,1720.2,https://www.allrecipes.com/recipe/220910/slow-cooker-easy-baked-potato-soup/
Homemade Ketchup,16,3.9,,,0.5,139.1,https://www.allrecipes.com/recipe/232397/homemade-ketchup/
Tangy Slow Cooker Pork Roast,210,9.4,66.4,7.7,24.6,482.8,https://www.allrecipes.com/recipe/25151/tangy-slow-cooker-pork-roast/
Its Chili By George,305,25.5,54.9,13.7,22.3,1266.6,https://www.allrecipes.com/recipe/14985/its-chili-by-george/
Stout Slow Cooker Corned Beef And Veggies,289,39.1,49.7,9.9,12.3,638.6,https://www.allrecipes.com/recipe/220555/stout-slow-cooker-corned-beef-and-veggies/
Slow Cooker Eye Of Round Roast With Vegetables,415,31.9,87.7,7.1,50.4,599.1,https://www.allrecipes.com/recipe/235327/slow-cooker-eye-of-round-roast-with-vegetables/
Slow Cooker Taco Soup With Ranch Dressing Mix,299,32.2,34.4,13,15.5,1714.5,https://www.allrecipes.com/recipe/164555/slow-cooker-taco-soup-with-ranch-dressing-mix/
Cousin Davids Slow Cooker Brisket,606,9.4,138.2,46.6,35.6,923.2,https://www.allrecipes.com/recipe/70096/cousin-davids-slow-cooker-brisket/
Slow Cooker Sweet And Sour Pot Roast,530,59.9,105.3,16.2,36.9,993.9,https://www.allrecipes.com/recipe/236776/slow-cooker-sweet-and-sour-pot-roast/
Simple Slow Cooked Korean Beef Soft Tacos,456,40.3,77.5,22.4,23.9,696.9,https://www.allrecipes.com/recipe/237005/simple-slow-cooked-korean-beef-soft-tacos/
Easy And Delicious Slow Cooker Cassoulet,522,52.9,68.4,18.9,35.5,641.2,https://www.allrecipes.com/recipe/223505/easy-and-delicious-slow-cooker-cassoulet/
Rich Slow Cooker Hot Chocolate,484,50.4,73.9,29.6,10.1,127.1,https://www.allrecipes.com/recipe/256112/rich-slow-cooker-hot-chocolate/
Slow Cooker Turkey Breast,273,1.5,164,1.5,59.5,308.9,https://www.allrecipes.com/recipe/92528/slow-cooker-turkey-breast/
Chicken And Corn Chili,188,22.6,40.6,2.3,20.4,1012.4,https://www.allrecipes.com/recipe/12906/chicken-and-corn-chili/
Slow Cooker Bbq Chicken,589,90,58.5,9.5,34.2,1233.6,https://www.allrecipes.com/recipe/213668/slow-cooker-bbq-chicken/
