recipe,calories,carbohydrates_g,cholesterol_mg,fat_g,protein_g,sodium_mg,url
Slow Cooker Mediterranean Chicken And Vegetables,465,57.3,70.3,13,29.8,733.9,https://www.allrecipes.com/recipe/274464/slow-cooker-mediterranean-chicken-and-vegetables/
Savory Pork Stew,526,52.9,70.9,22.5,30,706.6,https://www.allrecipes.com/recipe/89614/savory-pork-stew/
Slow Cooker Beef Barley And Mushroom Stew,444,53.8,49,12.8,29.6,825.2,https://www.allrecipes.com/recipe/282612/slow-cooker-beef-barley-and-mushroom-stew/
Slow Cooker Mac And Cheese,432,33.9,99,24.7,17.8,524.2,https://www.allrecipes.com/recipe/237311/slow-cooker-mac-and-cheese/
Slow Cooker Pulled Pork,335,49.4,49.1,5,21.2,990.1,https://www.allrecipes.com/recipe/141678/slow-cooker-pulled-pork/
Hobo Ground Beef And Vegetable Soup,354,45.9,45.9,10.4,22.4,1465,https://www.allrecipes.com/recipe/234407/hobo-ground-beef-and-vegetable-soup/
Slow Cooker Pork Cacciatore,614,41.8,82.4,31,34.5,1484.7,https://www.allrecipes.com/recipe/68943/slow-cooker-pork-cacciatore/
Slow Cooker Creamy Pot Roast,336,11.1,107.7,16.9,33.4,1152.8,https://www.allrecipes.com/recipe/241726/slow-cooker-creamy-pot-roast/
Slow Cooked Stew Meat Chili,268,30.4,23.4,9.3,15.6,966.9,https://www.allrecipes.com/recipe/276968/slow-cooked-stew-meat-chili/
Slow Cooker Ground Chicken Chili,406,54.6,50.6,7.9,32.7,1620.6,https://www.allrecipes.com/recipe/274091/slow-cooker-ground-chicken-chili/
Kashmiri Lamb,489,16.1,88.4,35.4,28.1,132,https://www.allrecipes.com/recipe/220560/kashmiri-lamb/
Busy Day Barbeque Brisket,370,19.4,69.9,24.1,17.8,1194.2,https://www.allrecipes.com/recipe/138023/busy-day-barbeque-brisket/
Mile High Green Chili,174,8.6,31.6,12,7.6,210.4,https://www.allrecipes.com/recipe/218772/mile-high-green-chili/
Hearty Vegan Slow Cooker Chili,134,24.8,,2.4,6.3,616.7,https://www.allrecipes.com/recipe/215311/hearty-vegan-slow-cooker-chili/
Best Beef Dip Ever,290,2.5,82.5,20.4,22.8,1498.4,https://www.allrecipes.com/recipe/50235/best-beef-dip-ever/
Slow Cooker Hawaiian Chicken,274,29.7,78.1,3.2,29.4,727.8,https://www.allrecipes.com/recipe/239319/slow-cooker-hawaiian-chicken/
Slow Cooker Pineapple Teriyaki Pork Chops,283,14.4,65.3,11.8,28,1728.7,https://www.allrecipes.com/recipe/279593/slow-cooker-pineapple-teriyaki-pork-chops/
Slow Cooker Teriyaki Chicken,174,16,52.9,2.3,20.9,1385,https://www.allrecipes.com/recipe/274429/slow-cooker-teriyaki-chicken/
All Day Venison Pot Roast,343,19.6,160.8,7.9,47,1043.4,https://www.allrecipes.com/recipe/219327/all-day-venison-pot-roast/
Hungarian Goulash Ii,281,15.3,68.6,15.8,19.2,1099.6,https://www.allrecipes.com/recipe/19956/hungarian-goulash-ii/
Winter Lentil Vegetable Soup,112,21.9,1.7,0.6,6.4,938,https://www.allrecipes.com/recipe/22142/winter-lentil-vegetable-soup/
Lauras Quick Slow Cooker Turkey Chili,276,32.8,41.8,7.6,21.2,547.2,https://www.allrecipes.com/recipe/82768/lauras-quick-slow-cooker-turkey-chili/
Easy Slow Cooker Chicken Fajitas,417,47.2,96.9,5.5,45.5,1793.3,https://www.allrecipes.com/recipe/259768/easy-slow-cooker-chicken-fajitas/
Slow Cooker Oats,208,37.2,10.2,5.6,3.9,34.6,https://www.allrecipes.com/recipe/218929/slow-cooker-oats/
Slow Cooker Adobo Chicken,254,5.3,61.5,14.7,23,1121.4,https://www.allrecipes.com/recipe/15650/slow-cooker-adobo-chicken/
Easy Slow Cooker Chili,382,50,53.9,12.2,26.1,1644.9,https://www.allrecipes.com/recipe/241736/easy-slow-cooker-chili/
Slow Cooker Moose Roast,172,6.3,73.7,3.3,27.8,272.6,https://www.allrecipes.com/recipe/48390/slow-cooker-moose-roast/
Healthier Maries Easy Slow Cooker Pot Roast,350,25.4,78.8,15.5,26.7,127.5,https://www.allrecipes.com/recipe/222080/healthier-maries-easy-slow-cooker-pot-roast/
Slow Cooker Chicken Fajitas,208,18,42.7,7.5,16.5,436.4,https://www.allrecipes.com/recipe/259769/slow-cooker-chicken-fajitas/
Slow Cooked Beef Loin Tri Tip Roast,430,3.9,139.4,23.9,47.2,253.5,https://www.allrecipes.com/recipe/240654/slow-cooked-beef-loin-tri-tip-roast/
Slow Cooker Chicken Pot Pie Stew,263,33.7,36.8,6.9,17.1,1415.6,https://www.allrecipes.com/recipe/180118/slow-cooker-chicken-pot-pie-stew/
Slow Cooker German Style Pork Roast With Sauerkraut And Potatoes,386,30.5,82.9,15.2,31.3,809.8,https://www.allrecipes.com/recipe/146229/slow-cooker-german-style-pork-roast-with-sauerkraut-and-potatoes/
Slow Cooker Ribs,455,21.3,136.3,23.6,36.6,1819.1,https://www.allrecipes.com/recipe/216773/slow-cooker-ribs/
Slow Cooker Tender And Yummy Round Steak,393,33.1,80.5,13.6,33.8,828.6,https://www.allrecipes.com/recipe/16399/slow-cooker-tender-and-yummy-round-steak/
Sweet And Sour Meatballs I,562,37.5,136.8,35.2,24,98.8,https://www.allrecipes.com/recipe/14658/sweet-and-sour-meatballs-i/
Vegetarian Buffalo Chicken Dip,187,11.7,24.1,11.4,8.9,1023.7,https://www.allrecipes.com/recipe/213217/vegetarian-buffalo-chicken-dip/
Slow Cooker Root Beer Pulled Pork,345,4.3,71.5,27.8,18.6,1211.1,https://www.allrecipes.com/recipe/241143/slow-cooker-root-beer-pulled-pork/
Bbq Beef Brisket Sandwiches,452,22,69.9,31.6,18.1,2011.2,https://www.allrecipes.com/recipe/256535/bbq-beef-brisket-sandwiches/
Easy Slow Cooker Chicken Tikka Masala,456,10.4,182.1,27.9,40.7,760.5,https://www.allrecipes.com/recipe/240337/easy-slow-cooker-chicken-tikka-masala/
Asian Style Country Ribs,653,13.9,176.6,44,48.4,2528.6,https://www.allrecipes.com/recipe/191199/asian-style-country-ribs/
Easy Slow Cooker Cheesy Potato Soup With Ham,518,27.7,109.5,42.4,24.2,1846.4,https://www.allrecipes.com/recipe/273023/easy-slow-cooker-cheesy-potato-soup-with-ham/
Slow Cooker Chicken Enchilada Soup,267,37.4,31.7,2.7,20.6,1594.8,https://www.allrecipes.com/recipe/256820/slow-cooker-chicken-enchilada-soup/
Jerres Black Bean And Pork Tenderloin Slow Cooker Chili,245,31.9,37.1,2.8,24,1044.6,https://www.allrecipes.com/recipe/193873/jerres-black-bean-and-pork-tenderloin-slow-cooker-chili/
Slow Cooker Mashed Potatoes,470,47.9,74,27.7,8.8,702.9,https://www.allrecipes.com/recipe/25895/slow-cooker-mashed-potatoes/
Emilys Chipotle Chili,448,23.5,99.5,24.9,32.9,1475.9,https://www.allrecipes.com/recipe/150297/emilys-chipotle-chili/
Slow Cooker Shredded Venison For Tacos,403,7.1,235.3,10.8,64.1,449,https://www.allrecipes.com/recipe/18853/slow-cooker-shredded-venison-for-tacos/
African Sweet Potato Stew,231,43.1,,4.2,7.4,568.8,https://www.allrecipes.com/recipe/245682/african-sweet-potato-stew/
Country Cooking Slow Cooker Neck Bones,518,1.3,100.7,47.8,19.1,352.1,https://www.allrecipes.com/recipe/181017/country-cooking-slow-cooker-neck-bones/
Beef Stifado In The Slow Cooker,378,20.6,79.8,15.7,30.7,261.2,https://www.allrecipes.com/recipe/268640/beef-stifado-in-the-slow-cooker/
Slow Cooker Vegetable Soup,333,57.2,,7.8,9.2,617.6,https://www.allrecipes.com/recipe/228114/slow-cooker-vegetable-soup/
Slow Cooker Funeral Potatoes Hash Brown Casserole,337,24.6,54.2,21.8,10.2,1087.3,https://www.allrecipes.com/recipe/282587/slow-cooker-funeral-potatoes-hash-brown-casserole/
Eggplant Parmesan For The Slow Cooker,401,38.6,89.5,18.3,23,1870.3,https://www.allrecipes.com/recipe/223360/eggplant-parmesan-for-the-slow-cooker/
Tender Pheasants,256,3.9,69.2,17.6,19.7,467.5,https://www.allrecipes.com/recipe/216198/tender-pheasants/
Pepperoncini Beef,998,71.5,159.7,52.7,55.9,2550.1,https://www.allrecipes.com/recipe/34929/pepperoncini-beef/
Spicy Beef Curry Stew For The Slow Cooker,291,7.6,62.5,19.1,20.6,441.7,https://www.allrecipes.com/recipe/74788/spicy-beef-curry-stew-for-the-slow-cooker/
Kalua Pig In A Slow Cooker,243,,82.4,14.7,25.9,714.6,https://www.allrecipes.com/recipe/24035/kalua-pig-in-a-slow-cooker/
Boneless Chicken Breast With Tomatoes Coconut Milk And Chickpeas In The Slow Cooker,454,52.4,57.8,15.2,30.3,1550.4,https://www.allrecipes.com/recipe/261146/boneless-chicken-breast-with-tomatoes-coconut-milk-and-chickpeas-in-the-slow-cooker/
Slow Cooker Chicken Alfredo,610,8.8,126.3,50.9,31.6,1591.6,https://www.allrecipes.com/recipe/91890/slow-cooker-chicken-alfredo/
Slow Cooker Creamy Chicken Taco Soup,302,12.2,73.5,18.4,21.7,2172.4,https://www.allrecipes.com/recipe/278888/slow-cooker-creamy-chicken-taco-soup/
Easy Cornish Hens,516,4.5,152.2,43.6,26.4,650.1,https://www.allrecipes.com/recipe/229872/easy-cornish-hens/
Slow Cooker Baked Beans Using Canned Beans,207,38.3,5.2,2.3,9.7,355.2,https://www.allrecipes.com/recipe/222258/slow-cooker-baked-beans-using-canned-beans/
Bone Broth,49,11.4,,0.2,1.8,186.2,https://www.allrecipes.com/recipe/241013/bone-broth/
Slow Cooker French Onion Soup,250,17.5,37.6,14.7,11,595.9,https://www.allrecipes.com/recipe/228859/slow-cooker-french-onion-soup/
Split Pea Soup With Homemade Ham Bone Stock,322,55.7,3.8,2.4,16.5,1637.3,https://www.allrecipes.com/recipe/262026/split-pea-soup-with-homemade-ham-bone-stock/
North Carolina Pulled Pork,209,17.8,56.8,6.4,19.7,265.1,https://www.allrecipes.com/recipe/235369/north-carolina-pulled-pork/
Super Duper Slow Cooker Beef Stroganoff,394,14.3,97.4,24.2,26.3,655.1,https://www.allrecipes.com/recipe/236867/super-duper-slow-cooker-beef-stroganoff/
Slow Cooker Chicken Taco Soup,434,42.3,67.8,17.7,27.2,1596.8,https://www.allrecipes.com/recipe/70343/slow-cooker-chicken-taco-soup/
Colorado Buffalo Chili,219,29.8,39,2.8,22.3,725.5,https://www.allrecipes.com/recipe/154121/colorado-buffalo-chili/
Slow Cooker Beef Neck Bones And Gravy,124,12.8,,7.2,2.7,459.9,https://www.allrecipes.com/recipe/244952/slow-cooker-beef-neck-bones-and-gravy/
Mild Mannered Chili,198,25.4,33.5,4.4,16.5,837.6,https://www.allrecipes.com/recipe/234627/mild-mannered-chili/
Slow Cooker Sausage With Sauce,1024,88.2,116.9,57.4,35.5,2356.2,https://www.allrecipes.com/recipe/70702/slow-cooker-sausage-with-sauce/
Pork Chops For The Slow Cooker,146,10.6,36,4.3,16,1336.6,https://www.allrecipes.com/recipe/25150/pork-chops-for-the-slow-cooker/
Southwest Black Bean Chicken Soup,389,43.7,55.3,13.1,26.6,1740.5,https://www.allrecipes.com/recipe/53465/southwest-black-bean-chicken-soup/
Slow Cooker Fish Chowder,235,27.9,56.5,6,18.4,723.5,https://www.allrecipes.com/recipe/223416/slow-cooker-fish-chowder/
Slow Cooker Carolina Bbq,293,3.6,90.5,17.3,27.6,775.5,https://www.allrecipes.com/recipe/148544/slow-cooker-carolina-bbq/
Slow Cooker Apple Cider Braised Pork,389,13.5,97.1,25.9,23.6,126.9,https://www.allrecipes.com/recipe/230568/slow-cooker-apple-cider-braised-pork/
Fast And Easy Slow Cooked Short Ribs,501,5.7,95.2,42.5,22.7,549.1,https://www.allrecipes.com/recipe/237049/fast-and-easy-slow-cooked-short-ribs/
Hatch Chili,360,35.5,60.5,12.5,26.3,3164.6,https://www.allrecipes.com/recipe/266314/hatch-chili/
Island Kielbasa In A Slow Cooker,867,107.5,99.9,41.6,20.3,2280.5,https://www.allrecipes.com/recipe/20057/island-kielbasa-in-a-slow-cooker/
Slow Cooker Venison Roast,314,10,171.3,8,48,1881.7,https://www.allrecipes.com/recipe/23825/slow-cooker-venison-roast/
Awesome Slow Cooker Buffalo Wings,386,3.5,108.6,34.4,16.1,2472.2,https://www.allrecipes.com/recipe/230993/awesome-slow-cooker-buffalo-wings/
Healthier Slow Cooker Chicken And Dumplings,248,29.3,40.5,7.1,16.2,758,https://www.allrecipes.com/recipe/222117/healthier-slow-cooker-chicken-and-dumplings/
Slow Cooked Goose,1362,16.9,499.6,72,152,1367,https://www.allrecipes.com/recipe/229864/slow-cooked-goose/
Slow Cooker Cauliflower Casserole,323,9.6,90.2,25.9,14.7,858.3,https://www.allrecipes.com/recipe/278036/slow-cooker-cauliflower-casserole/
Chipotle Barbacoa,244,7.3,71,14.1,21.6,448.9,https://www.allrecipes.com/recipe/246836/chipotle-barbacoa/
Garlic Pork Roast,532,27.8,147.9,22.8,51.4,578.6,https://www.allrecipes.com/recipe/41444/garlic-pork-roast/
Pulled Pork Yall,418,24.7,89.5,24.2,23.3,727.2,https://www.allrecipes.com/recipe/240593/pulled-pork-yall/
Meat Lovers Slow Cooker Spaghetti Sauce,264,18.8,45.2,14.8,15,1025.1,https://www.allrecipes.com/recipe/213266/meat-lovers-slow-cooker-spaghetti-sauce/
Mississippi Roast Slow Cooker Pepperoncini Pot Roast,537,5.8,151.2,39.3,36.5,1479.1,https://www.allrecipes.com/recipe/246721/mississippi-roast-slow-cooker-pepperoncini-pot-roast/
Sesame Chicken For Slow Cooker,364,41.1,87.8,7.3,34.7,1060,https://www.allrecipes.com/recipe/241601/sesame-chicken-for-slow-cooker/
Slow Cooker Homemade Beans,296,57,5,3,12.4,1312.2,https://www.allrecipes.com/recipe/58389/slow-cooker-homemade-beans/
Kris Amazing Shredded Mexican Beef,338,4.3,96.8,20.8,31.2,426.4,https://www.allrecipes.com/recipe/217843/kris-amazing-shredded-mexican-beef/
Slow Cooker Lengua Beef Tongue,492,1.2,223.5,38.8,32.1,122.9,https://www.allrecipes.com/recipe/236880/slow-cooker-lengua-beef-tongue/
Slow Cooker Pork Roast,406,32.6,91.6,19,25.8,506.3,https://www.allrecipes.com/recipe/235924/slow-cooker-pork-roast/
Slow Cooker Pepper Steak,301,11.7,65.4,15.8,28.2,1188.6,https://www.allrecipes.com/recipe/23567/slow-cooker-pepper-steak/
Slow Cooker Chicken Bone Broth,414,5.5,143,29.4,30.1,376.4,https://www.allrecipes.com/recipe/275943/slow-cooker-chicken-bone-broth/
Slow Cooker Beef Stew I,576,29.8,131.5,30.3,44.1,541.5,https://www.allrecipes.com/recipe/14685/slow-cooker-beef-stew-i/
Slow Cooker Spanish Beef Stew,241,13.6,39.8,11.6,19.6,821.7,https://www.allrecipes.com/recipe/236483/slow-cooker-spanish-beef-stew/
Slow Cooker Beef Vegetable Soup,364,38.8,50.7,16.2,20,1251.6,https://www.allrecipes.com/recipe/14986/slow-cooker-beef-vegetable-soup/
Slow Cooker Hamburger Soup With Macaroni,380,55.1,33.2,9.6,20.8,654.1,https://www.allrecipes.com/recipe/282402/slow-cooker-hamburger-soup-with-macaroni/
So Simple Beef Stroganoff,329,10.2,91,21,24.6,1241,https://www.allrecipes.com/recipe/230301/so-simple-beef-stroganoff/
Slow Cooker Cheesy Broccoli Soup,613,20.6,156.3,50.8,21.7,1701.1,https://www.allrecipes.com/recipe/282496/slow-cooker-cheesy-broccoli-soup/
Slow Cooker Chicken Tinga,131,3.9,30.2,8.1,10.2,418.4,https://www.allrecipes.com/recipe/232554/slow-cooker-chicken-tinga/
Leftover Turkey Soup Slow Cooker,1877,54.5,426.3,140.8,92.5,1541.5,https://www.allrecipes.com/recipe/235330/leftover-turkey-soup-slow-cooker/
Johnnys Slow Cooker London Broil,418,30.6,58.7,18.7,27.8,795.5,https://www.allrecipes.com/recipe/235380/johnnys-slow-cooker-london-broil/
Crock Pot Or Slow Cooked Flank Steak,292,2.7,69.8,14.2,36.4,99.4,https://www.allrecipes.com/recipe/157154/crock-pot-or-slow-cooked-flank-steak/
Slow Cooker Chicken Cacciatore,261,23.7,63.4,6.1,27.1,589.8,https://www.allrecipes.com/recipe/8817/slow-cooker-chicken-cacciatore/
Easy Slow Cooker Chicken Soup,165,13,40.6,4.8,17.2,809.5,https://www.allrecipes.com/recipe/230614/easy-slow-cooker-chicken-soup/
Middle Eastern White Beans,229,36.5,,5.3,10.6,351.3,https://www.allrecipes.com/recipe/82184/middle-eastern-white-beans/
Slow Cooker Beef Roast,284,17.4,79.9,9.2,31.2,523.7,https://www.allrecipes.com/recipe/155154/slow-cooker-beef-roast/
Slow Cooker Chicken Quesadillas,672,43.8,112.8,42.6,37.5,1900.7,https://www.allrecipes.com/recipe/267953/slow-cooker-chicken-quesadillas/
Slow Cooker Spaghetti Squash,54,12.1,,1,1.1,32.4,https://www.allrecipes.com/recipe/240068/slow-cooker-spaghetti-squash/
Moist Slow Cooker Roast Beef Without Vegetables,232,3.8,64.6,16,17,637.7,https://www.allrecipes.com/recipe/281868/moist-slow-cooker-roast-beef-without-vegetables/
Slow Cooker 3 Bean Chili,238,29,41.8,5.2,19.8,877.8,https://www.allrecipes.com/recipe/236091/slow-cooker-3-bean-chili/
Slow Cooker Baked Potatoes,254,51.2,,3.6,6.1,114.2,https://www.allrecipes.com/recipe/215314/slow-cooker-baked-potatoes/
Slow Cooker Sweet And Sour Chicken Thighs,297,31.9,68.7,9.9,20.4,428,https://www.allrecipes.com/recipe/282440/slow-cooker-sweet-and-sour-chicken-thighs/
Slow Cooker Chicken Mole,289,28.1,58.5,9.2,28.3,290.2,https://www.allrecipes.com/recipe/217186/slow-cooker-chicken-mole/
Slow Cooker Sauerkraut Pork Loin,460,7.8,143.3,24.5,49.7,598.8,https://www.allrecipes.com/recipe/218222/slow-cooker-sauerkraut-pork-loin/
Bbq Pork For Sandwiches,355,15.2,82.9,18.1,30.2,623.2,https://www.allrecipes.com/recipe/21174/bbq-pork-for-sandwiches/
Sweet And Sour Beef,321,41.8,59.8,6.5,23.1,2090,https://www.allrecipes.com/recipe/235405/sweet-and-sour-beef/
The Sarges Goetta German Breakfast Treat,511,29,69.5,35.6,18,1036.3,https://www.allrecipes.com/recipe/45652/the-sarges-goetta-german-breakfast-treat/
Maries Easy Slow Cooker Pot Roast,540,18.2,147.4,30.6,45.7,271.9,https://www.allrecipes.com/recipe/16346/maries-easy-slow-cooker-pot-roast/
Delicious Beef Tongue Tacos,227,14,65.5,14,11.4,46.2,https://www.allrecipes.com/recipe/157899/delicious-beef-tongue-tacos/
Slow Cooker Venison Stroganoff Meal,790,87.7,231,23.5,54.5,1144.6,https://www.allrecipes.com/recipe/163894/slow-cooker-venison-stroganoff-meal/
Slow Cooker Squirrel And Veggies,520,82.7,105.2,4.9,37,1357.4,https://www.allrecipes.com/recipe/157849/slow-cooker-squirrel-and-veggies/
Mongolian Beef From The Slow Cooker,320,36.3,35.6,12.7,15.7,1856.7,https://www.allrecipes.com/recipe/241165/mongolian-beef-from-the-slow-cooker/
Slow Cooker Taco Soup,362,37.8,48.5,16.3,18.2,1356,https://www.allrecipes.com/recipe/16678/slow-cooker-taco-soup/
Round Steak Sauerbraten,441,8.2,114.1,29.6,33.3,654.8,https://www.allrecipes.com/recipe/16329/round-steak-sauerbraten/
Slow Cooker Pot Roast,385,20.8,86.8,22,23.9,1287.8,https://www.allrecipes.com/recipe/218547/slow-cooker-pot-roast/
Karens Slow Cooker Chicken Fajitas,332,42.9,37.6,9.2,19.1,918.9,https://www.allrecipes.com/recipe/232197/karens-slow-cooker-chicken-fajitas/
Slow Cooker Au Jus Pot Roast,386,2.8,103.4,29,26.9,697.8,https://www.allrecipes.com/recipe/229957/slow-cooker-au-jus-pot-roast/
Ericas Delicious Slow Cooker Beef Roast,577,12.1,145.2,36.2,47.9,650.4,https://www.allrecipes.com/recipe/16260/ericas-delicious-slow-cooker-beef-roast/
The Ultimate Chili,414,49.5,49.6,11,28.4,1015,https://www.allrecipes.com/recipe/13067/the-ultimate-chili/
Slow Cooker Sauerkraut And Sausage,640,19,92.6,55.1,17.2,1652.7,https://www.allrecipes.com/recipe/17507/slow-cooker-sauerkraut-and-sausage/
Slow Cooker Vegetarian Curry,151,32.1,,0.7,6.7,44.6,https://www.allrecipes.com/recipe/273876/slow-cooker-vegetarian-curry/
Chads Slow Cooker Taco Soup,195,19.4,27.2,8.1,10.9,838.9,https://www.allrecipes.com/recipe/187504/chads-slow-cooker-taco-soup/
Mothers Pot Roast,552,10.2,149.7,36.6,45.2,570.4,https://www.allrecipes.com/recipe/14648/mothers-pot-roast/
Slow Cooker Lemon Garlic Chicken Ii,192,1.3,88.2,7,29.6,347.6,https://www.allrecipes.com/recipe/18032/slow-cooker-lemon-garlic-chicken-ii/
Slow Cooker Cocktail Smokies,377,28.3,56.4,24.6,11.1,1278.3,https://www.allrecipes.com/recipe/213073/slow-cooker-cocktail-smokies/
Slow Cooker Roast Beef In Its Own Gravy,332,20.9,72.3,18.3,19.9,982.8,https://www.allrecipes.com/recipe/238445/slow-cooker-roast-beef-in-its-own-gravy/
Roast In A Slow Cooker,660,24,143.9,45.9,36.2,1279.7,https://www.allrecipes.com/recipe/235761/roast-in-a-slow-cooker/
Easy Slow Cooker Chicken Wings,284,13.7,65.5,15.3,22.4,720.1,https://www.allrecipes.com/recipe/24791/easy-slow-cooker-chicken-wings/
Slow Cooker Balsamic Chicken,200,17.6,43.1,6.8,18.6,223.5,https://www.allrecipes.com/recipe/234664/slow-cooker-balsamic-chicken/
Awesome Slow Cooker Pot Roast,426,4.9,126.8,23.7,45.6,638.7,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/
Slow Cooker Lentil Soup,259,26.7,25.4,8.9,18,736.5,https://www.allrecipes.com/recipe/277942/slow-cooker-lentil-soup/
Sweet And Savory Slow Cooker Pulled Pork,485,45.5,81.4,19.1,28.5,985.4,https://www.allrecipes.com/recipe/213262/sweet-and-savory-slow-cooker-pulled-pork/
Slow Cooker Latin Chicken,591,56.9,136.8,18.1,50.2,980.2,https://www.allrecipes.com/recipe/177078/slow-cooker-latin-chicken/
Slow Cooker Autumn Delight,562,66,78,21.4,26,1944.5,https://www.allrecipes.com/recipe/231252/slow-cooker-autumn-delight/
Slow Cooker Pumpkin Turkey Chili,338,41.9,56,9.1,25.1,856.6,https://www.allrecipes.com/recipe/228404/slow-cooker-pumpkin-turkey-chili/
Queso Cheese Dip,293,9.9,57.8,21.5,15.7,744.2,https://www.allrecipes.com/recipe/238849/queso-cheese-dip/
Slow Cooker Boneless Turkey Breast,468,5.5,273.1,2.6,99.7,814.9,https://www.allrecipes.com/recipe/229664/slow-cooker-boneless-turkey-breast/
Slow Cooker Macaroni And Cheese With Broccoli,549,47.1,85.7,27.6,28.3,465,https://www.allrecipes.com/recipe/220490/slow-cooker-macaroni-and-cheese-with-broccoli/
Barbecued Beef,276,13.5,65.4,16.2,18.7,562.3,https://www.allrecipes.com/recipe/14646/barbecued-beef/
Easy Slow Cooker Ham,753,47.9,127.2,42.8,42.4,2941.4,https://www.allrecipes.com/recipe/99851/easy-slow-cooker-ham/
Jennies Heavenly Slow Cooker Chicken,456,13,133.3,28.3,26,1671.6,https://www.allrecipes.com/recipe/215033/jennies-heavenly-slow-cooker-chicken/
Awesome Roast Beef,308,3.3,87.7,16.1,35.3,658.4,https://www.allrecipes.com/recipe/26583/awesome-roast-beef/
Slow Cooker Chili Ii,273,33.4,34.4,7.6,18.9,975,https://www.allrecipes.com/recipe/48449/slow-cooker-chili-ii/
Easy Slow Cooker White Chicken Chili,201,27.4,22.5,4.5,14.3,512.3,https://www.allrecipes.com/recipe/255273/easy-slow-cooker-white-chicken-chili/
Slow Cooker Potato Bacon Soup,380,35.2,59.5,19.8,16.2,580.6,https://www.allrecipes.com/recipe/277373/slow-cooker-potato-bacon-soup/
Best Ever Slow Cooker Italian Beef Roast,285,6,77.5,18.8,20.7,1108.8,https://www.allrecipes.com/recipe/229006/best-ever-slow-cooker-italian-beef-roast/
